X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.130435 ; 0 ; 0 ; 0.130435 ; 0 ; 0.173913
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0869565 ; 0.0869565
données bn:00025314n ; 0 ; 0 ; 0 ; 0.173913 ; 0.130435 ; 0.26087 ; 0 ; 0.26087
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0869565 ; 0.130435 ; 0 ; 0.173913
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0869565 ; 0.130435 ; 0 ; 0.173913
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.130435 ; 0 ; 0.130435 ; 0.0869565 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.130435 ; 0 ; 0.173913 ; 0 ; 0.130435
afficher bn:00087013v ; 0.130435 ; 0 ; 0.173913 ; 0 ; 0.0869565 ; 0 ; 0 ; 0.173913
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0
hiérarchie bn:00044017n ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0
void bn:01326821n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
exception bn:00032118n ; 0 ; 0.0869565 ; 0.0869565 ; 0 ; 0 ; 0 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0434783 ; 0 ; 0
