X ; science bn:00069670n ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; david harel bn:03178978n ; mathematics bn:00053823n ; state bn:00023236n ; state machine bn:00212740n ; diagrams bn:00026817n ; communication bn:00021221n ; units bn:00021497n ; language bn:00049910n ; behavior bn:00009657n ; complex bn:00100148a ; complex system bn:03086504n ; problem bn:00048242n ; reactive systems bn:02824399n ; example bn:00032100n ; automobiles bn:00007309n ; networks bn:00024712n ; kind bn:00035907n ; way bn:00033729n ; time bn:00077270n ; simulation bn:00021496n ; set bn:00070697n ; output bn:00036821n ; information bn:00046705n ; tool bn:00077585n ; number bn:00058285n ; state transition bn:03348716n ; nature bn:00057017n ; triggering bn:00082306v ; hierarchical bn:00104156a ; orthogonality bn:00059586n ; main bn:00099598a ; possible bn:00108829a ; broadcast bn:00013234n ; semantics bn:00070404n ; concept bn:00021547n ; occurring bn:00085337v ; america bn:00003341n ; achieved bn:00082226v ; automata bn:00007371n ; c d bn:00016915n ; sec bn:00068672n ; history bn:00044268n ; effect bn:00021961n ; require bn:00091028v ; determinism bn:00026654n ; simultaneous bn:00099916a ; application bn:00005095n ; possibility bn:00045632n ; light bn:00051108n ; second bn:00095974a ; merely bn:00114626r ; reg bn:01922794n ; timers bn:00077309n ; syntax bn:00062118n ; substates bn:00964536n ; conditional bn:00100214a ; defined bn:00086465v ; formal syntax bn:01042120n ; operational semantics bn:02057536n ; definition bn:00025928n ; condition c bn:00675915n ; subset bn:00074971n ; management bn:00053116n ; higraphs bn:01691263n ; finite bn:00102992a ; new york bn:00041611n ; automata theory bn:00152075n ; entity bn:00031027n ; types bn:00016413n ; multiple bn:00107028a ; composite bn:00100155a ; sequence bn:00070574n ; large number bn:14223782n ; goal bn:00030721n ; scenario bn:01190125n ; city bn:03335997n ; workflows bn:00081578n ; plant bn:00035324n ; transition state bn:03731398n ; strategy bn:00069579n ; police bn:00022026n ; transducer bn:00077966n ; code bn:00020354n ; current bn:00096401a ; traffic light bn:00074441n ; bit bn:00010731n ; include bn:00089662v ; logical value bn:00855623n ; gate bn:00037487n ; flip-flop bn:00035248n ; summary bn:00075142n ; autonomous bn:00097830a ; stateflow bn:03369007n ; red light bn:00066676n ; composite states bn:00892979n ; inner bn:00105133a ; deep bn:00101054a ; simple bn:00098053a ; atomic bn:00097696a ; interaction diagram bn:02571962n ; activity diagrams bn:02627321n ; deterministic finite state automata bn:03499526n ; superstate bn:03656095n ; fsa bn:03013778n ; basic bn:00098103a ; fsms bn:03431506n ; state actions bn:00955439n
units bn:00021497n ; 0.5 ; 0.222222 ; 0.1 ; 0.111111 ; 1 ; 0.2 ; 0.222222 ; 0.142857 ; 0.125 ; 0.2 ; 1 ; 0.333333 ; 0.0909091 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.125 ; 0.0909091 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.285714 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.125 ; 0.142857 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
language bn:00049910n ; 0.2 ; 0.222222 ; 0.047619 ; 0.25 ; 0.333333 ; 0.2 ; 0.1 ; 0.142857 ; 0.125 ; 0.2 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.125 ; 0.125 ; 0.2 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.111111 ; 1 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
behavior bn:00009657n ; 0.0769231 ; 0.117647 ; 0.153846 ; 0.285714 ; 0.0909091 ; 0.0769231 ; 0.117647 ; 0.142857 ; 0.133333 ; 0.166667 ; 0.0909091 ; 0.2 ; 1 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.2 ; 0.0666667 ; 0.0909091 ; 0.0909091 ; 0.0625 ; 0.0625 ; 0.25 ; 0.2 ; 0.0769231 ; 0.0769231 ; 0.0909091 ; 0.2 ; 0.0526316 ; 0.0588235 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.0769231 ; 0.2 ; 0.133333 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0769231 ; 0.2 ; 0.2 ; 0.307692 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.0769231 ; 0.0909091 ; 0.0909091 ; 0.4 ; 0.4 ; 0.2 ; 0.0909091 ; 0.4 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0769231 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.166667 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.2 ; 0.2 ; 0.285714 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091
complex bn:00100148a ; 0.2 ; 0.1 ; 0.1 ; 0.111111 ; 0.333333 ; 0.2 ; 0.1 ; 0.142857 ; 0.285714 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.125 ; 0.125 ; 0.0909091 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.0909091 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.125 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
complex system bn:03086504n ; 0.2 ; 0.1 ; 0.047619 ; 0.25 ; 0.333333 ; 0.2 ; 0.222222 ; 0.142857 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.285714 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 1 ; 0.2 ; 0.333333 ; 0.285714 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
problem bn:00048242n ; 0.142857 ; 0.0833333 ; 0.0909091 ; 0.2 ; 0.2 ; 0.142857 ; 0.181818 ; 0.25 ; 0.1 ; 0.142857 ; 0.2 ; 0.2 ; 0.166667 ; 0.2 ; 0.5 ; 1 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.222222 ; 0.222222 ; 0.166667 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.0769231 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.142857 ; 0.5 ; 0.142857 ; 0.2 ; 0.222222 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.1 ; 0.25 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
reactive systems bn:02824399n ; 0.2 ; 0.1 ; 0.1 ; 0.111111 ; 0.333333 ; 0.2 ; 0.1 ; 0.142857 ; 0.285714 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.125 ; 0.125 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.285714 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.111111 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
example bn:00032100n ; 0.666667 ; 0.363636 ; 0.0833333 ; 0.0769231 ; 0.333333 ; 0.111111 ; 0.153846 ; 0.2 ; 0.0833333 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 1 ; 0.142857 ; 0.142857 ; 0.0833333 ; 0.0833333 ; 0.0666667 ; 0.142857 ; 0.111111 ; 0.25 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.0769231 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.25 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.181818 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.666667 ; 0.142857 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.25 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857
automobiles bn:00007309n ; 0.2 ; 0.1 ; 0.1 ; 0.111111 ; 0.333333 ; 0.2 ; 0.1 ; 0.142857 ; 0.285714 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 1 ; 0.333333 ; 0.125 ; 0.285714 ; 0.0909091 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.142857 ; 1 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.125 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
networks bn:00024712n ; 0.2 ; 0.222222 ; 0.047619 ; 0.111111 ; 0.333333 ; 0.2 ; 0.1 ; 0.142857 ; 0.125 ; 0.5 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 1 ; 0.285714 ; 0.285714 ; 0.0909091 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.125 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
kind bn:00035907n ; 0.1 ; 0.142857 ; 0.08 ; 0.153846 ; 0.125 ; 0.222222 ; 0.142857 ; 0.0833333 ; 0.0769231 ; 0.222222 ; 0.125 ; 0.125 ; 0.0625 ; 0.125 ; 0.285714 ; 0.222222 ; 0.125 ; 0.0833333 ; 0.125 ; 0.285714 ; 1 ; 0.4 ; 0.307692 ; 0.125 ; 0.222222 ; 0.1 ; 0.125 ; 0.125 ; 0.133333 ; 0.153846 ; 0.125 ; 0.181818 ; 0.125 ; 0.1 ; 0.285714 ; 0.1 ; 0.125 ; 0.166667 ; 0.1 ; 0.285714 ; 0.285714 ; 0.125 ; 0.1 ; 0.125 ; 0.125 ; 0.0769231 ; 0.181818 ; 0.125 ; 0.125 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.1 ; 0.1 ; 0.125 ; 0.125 ; 0.1 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.125 ; 0.1 ; 0.125 ; 0.125 ; 0.125 ; 0.0714286 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125
way bn:00033729n ; 0.1 ; 0.142857 ; 0.08 ; 0.153846 ; 0.125 ; 0.1 ; 0.142857 ; 0.0833333 ; 0.166667 ; 0.222222 ; 0.125 ; 0.125 ; 0.0625 ; 0.125 ; 0.285714 ; 0.222222 ; 0.125 ; 0.0833333 ; 0.285714 ; 0.285714 ; 0.4 ; 1 ; 0.133333 ; 0.125 ; 0.222222 ; 0.1 ; 0.125 ; 0.125 ; 0.307692 ; 0.153846 ; 0.125 ; 0.0833333 ; 0.285714 ; 0.1 ; 0.285714 ; 0.222222 ; 0.125 ; 0.166667 ; 0.222222 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.125 ; 0.125 ; 0.166667 ; 0.181818 ; 0.125 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.1 ; 0.1 ; 0.125 ; 0.125 ; 0.1 ; 0.125 ; 0.1 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.222222 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.125 ; 0.1 ; 0.125 ; 0.125 ; 0.125 ; 0.0714286 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714
time bn:00077270n ; 0.0769231 ; 0.117647 ; 0.153846 ; 0.285714 ; 0.0909091 ; 0.166667 ; 0.117647 ; 0.0666667 ; 0.133333 ; 0.166667 ; 0.0909091 ; 0.2 ; 0.25 ; 0.0909091 ; 0.2 ; 0.166667 ; 0.2 ; 0.0666667 ; 0.0909091 ; 0.0909091 ; 0.307692 ; 0.133333 ; 1 ; 0.2 ; 0.0769231 ; 0.0769231 ; 0.0909091 ; 0.0909091 ; 0.0526316 ; 0.125 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.166667 ; 0.2 ; 0.0769231 ; 0.2 ; 0.133333 ; 0.0769231 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0769231 ; 0.2 ; 0.0909091 ; 0.307692 ; 0.333333 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.2 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.0769231 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0769231 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.2 ; 0.2 ; 0.125 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091
simulation bn:00021496n ; 0.2 ; 0.222222 ; 0.047619 ; 0.25 ; 0.333333 ; 0.2 ; 0.1 ; 0.142857 ; 0.125 ; 0.2 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.125 ; 0.125 ; 0.2 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.111111 ; 1 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
