X ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; state bn:00023236n ; behavior bn:00009657n ; kind bn:00035907n ; number bn:00058285n ; history bn:00044268n ; effect bn:00021961n ; simultaneous bn:00099916a ; reg bn:01922794n ; timers bn:00077309n ; conditional bn:00100214a ; operational semantics bn:02057536n ; condition c bn:00675915n ; composite bn:00100155a ; goal bn:00030721n ; scenario bn:01190125n ; city bn:03335997n ; plant bn:00035324n ; transition state bn:03731398n ; police bn:00022026n ; transducer bn:00077966n ; code bn:00020354n ; traffic light bn:00074441n ; include bn:00089662v ; logical value bn:00855623n ; gate bn:00037487n ; flip-flop bn:00035248n ; autonomous bn:00097830a ; red light bn:00066676n ; composite states bn:00892979n ; inner bn:00105133a ; deep bn:00101054a ; atomic bn:00097696a ; activity diagrams bn:02627321n ; superstate bn:03656095n ; fsa bn:03013778n ; basic bn:00098103a ; fsms bn:03431506n ; state actions bn:00955439n
traffic light bn:00074441n ; 0.117647 ; 0.5 ; 0.666667 ; 0.333333 ; 0.181818 ; 0.142857 ; 0.153846 ; 0.142857 ; 0.166667 ; 0.111111 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5
include bn:00089662v ; 0.133333 ; 0.25 ; 0.333333 ; 0.2 ; 0.222222 ; 0.2 ; 0.181818 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
logical value bn:00855623n ; 0.133333 ; 0.25 ; 0.333333 ; 0.2 ; 0.222222 ; 0.2 ; 0.181818 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
gate bn:00037487n ; 0.0625 ; 0.25 ; 0.333333 ; 0.5 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1
flip-flop bn:00035248n ; 0.0625 ; 0.25 ; 0.333333 ; 0.5 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1
autonomous bn:00097830a ; 0.0625 ; 0.111111 ; 0.142857 ; 0.2 ; 0.222222 ; 0.2 ; 0.0833333 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
red light bn:00066676n ; 0.133333 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.181818 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
composite states bn:00892979n ; 0.0625 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
inner bn:00105133a ; 0.133333 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.181818 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
deep bn:00101054a ; 0.133333 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.181818 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
atomic bn:00097696a ; 0.133333 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.181818 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
activity diagrams bn:02627321n ; 0.0625 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
superstate bn:03656095n ; 0.0625 ; 0.111111 ; 0.142857 ; 0.2 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
fsa bn:03013778n ; 0.0625 ; 0.25 ; 0.333333 ; 0.5 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1
basic bn:00098103a ; 0.0625 ; 0.25 ; 0.333333 ; 0.5 ; 0.1 ; 0.2 ; 0.0833333 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1
