Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;4;0;10;;C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,;
1;3;1;3;fichier bn:00021475n,;C2,C3,C4,;
2;3;1;5;client bn:00019764n,;C2,C5,C7,C8,C10,;
3;3;1;4;donnée bn:00025314n,;C6,C8,C9,C10,;
4;3;1;5;nombre bn:00058285n,;C1,C2,C3,C6,C9,;
5;3;1;3;méthode post bn:00045088n,;C4,C5,C10,;
6;2;1;2;langage de script bn:01431715n,;C4,C9,;
7;2;1;2;méthode bn:01641329n,;C3,C10,;
8;2;2;2;navigateur bn:00013447n,serveur web bn:02705179n,;C1,C10,;
9;2;2;2;fichier bn:00021475n,nombre bn:00058285n,;C2,C3,;
10;2;2;2;client bn:00019764n,donnée bn:00025314n,;C8,C10,;
11;2;2;3;client bn:00019764n,php bn:01753580n,;C2,C5,C8,;
12;2;2;2;client bn:00019764n,méthode post bn:00045088n,;C5,C10,;
13;2;2;2;client bn:00019764n,site bn:00047172n,;C7,C8,;
14;2;2;2;donnée bn:00025314n,nombre bn:00058285n,;C6,C9,;
15;2;2;2;donnée bn:00025314n,text bn:14981519n,;C8,C9,;
16;2;2;2;délimiter bn:00086464v,nombre bn:00058285n,;C1,C2,;
17;2;2;2;nombre bn:00058285n,zones bn:00005513n,;C1,C9,;
18;2;2;2;nombre bn:00058285n,personne bn:00046516n,;C1,C6,;
19;2;2;2;chaîne bn:00074685n,timestamp bn:03603649n,;C3,C7,;
20;1;4;1;fichier bn:00021475n,méthode post bn:00045088n,langage de script bn:01431715n,list bn:04720346n,;C4,;
21;1;7;1;navigateur bn:00013447n,serveur web bn:02705179n,client bn:00019764n,donnée bn:00025314n,méthode post bn:00045088n,communication bn:00021221n,méthode bn:01641329n,;C10,;
22;1;7;1;client bn:00019764n,php bn:01753580n,méthode post bn:00045088n,doctype bn:15839327n,configuration bn:03088982n,xml bn:02771436n,composer bn:14766022n,;C5,;
23;1;7;1;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,personne bn:00046516n,insert bn:03795444n,varchar bn:01838409n,null bn:15898583n,;C6,;
24;1;8;1;fichier bn:00021475n,nombre bn:00058285n,programmation bn:00021493n,chaîne bn:00074685n,méthode bn:01641329n,timestamp bn:03603649n,echo bn:03626250n,files bn:00065682n,;C3,;
25;1;11;1;donnée bn:00025314n,nombre bn:00058285n,text bn:14981519n,zones bn:00005513n,moteur bn:00030850n,langage de script bn:01431715n,type bn:00016413n,transaction bn:01403911n,mot bn:00081546n,visiteur bn:03106425n,afficher bn:00087013v,;C9,;
26;1;13;1;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,commentaire bn:00020978n,délimiter bn:00086464v,case à cocher bn:03157691n,nombre bn:00058285n,côté serveur bn:03816678n,serveur bn:00044916n,interpréter bn:00089840v,côté client bn:03163702n,pointeur bn:03222272n,casse bn:03225002n,;C2,;
27;1;14;1;page web bn:00080778n,navigateur bn:00013447n,serveur web bn:02705179n,texte bn:00076732n,concerner bn:00083240v,délimiter bn:00086464v,nombre bn:00058285n,zones bn:00005513n,utilisateur bn:00079373n,associer bn:00082868v,personne bn:00046516n,machine bn:00054050n,mysql bn:01225760n,salaire bn:15928884n,;C1,;
28;1;16;1;client bn:00019764n,url bn:00079080n,langage bn:00049910n,case bn:04777941n,fermeture bn:16858148n,site bn:00047172n,chaîne bn:00074685n,header bn:00043309n,super bn:17336345n,session bn:03751534n,france bn:00036202n,timestamp bn:03603649n,valeur bn:00079508n,généralité bn:00041249n,autre bn:00108013a,avoir accès bn:00082209v,;C7,;
29;1;17;1;client bn:00019764n,donnée bn:00025314n,php bn:01753580n,code bn:00020354n,fois bn:00032768n,post bn:01500184n,text bn:14981519n,jour bn:00000086n,site bn:00047172n,paris bn:00015540n,opérateur bn:16281811n,foreach bn:03463379n,cle bn:04756252n,classes bn:03608262n,bienvenue bn:00080852n,class bn:03598962n,mysqli bn:01438356n,;C8,;
