X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
page web;0.166667;0;0;0;0;0;0;0;0;0
navigateur;0.285714;0;0;0;0;0;0;0;0;0.333333
serveur web;0;0;0;0;0;0;0;0;0;0.2
fichier;0;0.25;0;0;0;0;0;0;0;0
base de donnée;0;0;0;0;0;0.25;0;0;0;0
donnée;0;0;0;0;0;0.25;0;0;0;0
php;0;0;0;0;0;0;0;0.2;0;0
code;0;0;0;0;0;0;0;0.2;0;0
texte;0.166667;0;0;0;0;0;0;0;0;0
concerner;0.166667;0;0;0;0;0;0;0;0;0
commentaire;0;0.25;0;0;0;0;0;0;0;0
délimiter;0.285714;0.4;0;0;0;0;0;0;0;0
fois;0;0;0;0;0;0;0;0.2;0;0
url;0;0;0;0;0;0;0.2;0;0;0
case à cocher;0;0.25;0;0;0;0;0;0;0;0
post;0;0;0;0;0;0;0;0.2;0;0
text;0;0;0;0;0;0;0;0.333333;0.333333;0
langage;0;0;0;0;0;0;0.2;0;0;0
utilisateur;0.166667;0;0;0;0;0;0;0;0;0
case;0;0;0;0;0;0;0.2;0;0;0
associer;0.166667;0;0;0;0;0;0;0;0;0
personne;0.285714;0;0;0;0;0.4;0;0;0;0
méthode post;0;0;0;0.285714;0.333333;0;0;0;0;0.285714
fermeture;0;0;0;0;0;0;0.2;0;0;0
machine;0.166667;0;0;0;0;0;0;0;0;0
mysql;0.166667;0;0;0;0;0;0;0;0;0
salaire;0.166667;0;0;0;0;0;0;0;0;0
jour;0;0;0;0;0;0;0;0.2;0;0
programmation;0;0;0.25;0;0;0;0;0;0;0
site;0;0;0;0;0;0;0.333333;0.333333;0;0
chaîne;0;0;0;0;0;0;0.2;0;0;0
header;0;0;0;0;0;0;0.2;0;0;0
doctype;0;0;0;0;0.25;0;0;0;0;0
moteur;0;0;0;0;0;0;0;0;0.2;0
configuration;0;0;0;0;0.25;0;0;0;0;0
paris;0;0;0;0;0;0;0;0.2;0;0
langage de script;0;0;0;0.333333;0;0;0;0;0.333333;0
côté serveur;0;0.25;0;0;0;0;0;0;0;0
opérateur;0;0;0;0;0;0;0;0.2;0;0
type;0;0;0;0;0;0;0;0;0.2;0
foreach;0;0;0;0;0;0;0;0.2;0;0
cle;0;0;0;0;0;0;0;0.2;0;0
serveur;0;0.25;0;0;0;0;0;0;0;0
communication;0;0;0;0;0;0;0;0;0;0.2
interpréter;0;0.25;0;0;0;0;0;0;0;0
transaction;0;0;0;0;0;0;0;0;0.2;0
côté client;0;0.25;0;0;0;0;0;0;0;0
classes;0;0;0;0;0;0;0;0.2;0;0
bienvenue;0;0;0;0;0;0;0;0.2;0;0
class;0;0;0;0;0;0;0;0.2;0;0
mot;0;0;0;0;0;0;0;0;0.2;0
méthode;0;0;0.25;0;0;0;0;0;0;0
session;0;0;0;0;0;0;0.2;0;0;0
visiteur;0;0;0;0;0;0;0;0;0.2;0
afficher;0;0;0;0;0;0;0;0;0.2;0
mysqli;0;0;0;0;0;0;0;0.2;0;0
insert;0;0;0;0;0;0.25;0;0;0;0
list;0;0;0;0.2;0;0;0;0;0;0
timestamp;0;0;0.4;0;0;0;0.333333;0;0;0
xml;0;0;0;0;0.25;0;0;0;0;0
files;0;0;0.25;0;0;0;0;0;0;0
varchar;0;0;0;0;0;0.25;0;0;0;0
composer;0;0;0;0;0.25;0;0;0;0;0
null;0;0;0;0;0;0.25;0;0;0;0
avoir accès;0;0;0;0;0;0;0.2;0;0;0
