Objects;Weight
page web bn:00080778n;0.105263
fichier bn:00021475n;0.210526
client bn:00019764n;0.210526
base de donnée bn:00025333n;0.210526
donnée bn:00025314n;0.368421
php bn:01753580n;0.210526
délimiter bn:00086464v;0.210526
post bn:01500184n;0.210526
nombre bn:00058285n;0.368421
text bn:14981519n;0.421053
associer bn:00082868v;0.105263
mysql bn:01225760n;0.105263
salaire bn:15928884n;0.105263
jour bn:00000086n;0.105263
site bn:00047172n;0.210526
france bn:00036202n;0.105263
langage de script bn:01431715n;0.105263
interpréter bn:00089840v;0.105263
côté serveur bn:03816678n;0.105263
typage bn:00016413n;0.105263
timestamp bn:03603649n;0.105263
session bn:03751534n;0.105263
afficher bn:00087013v;0.105263
chaîne bn:00074685n;0.105263
header bn:00043309n;0.105263
accéder bn:00082209v;0.105263
paris bn:00015540n;0.105263
classe bn:03608262n;0.105263
class bn:03598962n;0.105263
mysqli bn:01438356n;0.105263
visiteur bn:03106425n;0.105263
