Objects;Weight
page web bn:00080778n;0.0588235
navigateur bn:00013447n;0.352941
serveur web bn:02705179n;0.235294
fichier bn:00021475n;0.205882
client bn:00019764n;0.117647
base de donnée bn:00025333n;0.117647
donnée bn:00025314n;0.235294
php bn:01753580n;0.235294
code bn:00020354n;0.117647
texte bn:00076732n;0.411765
concerner bn:00083240v;0.117647
commentaire bn:00020978n;0.411765
délimiter bn:00086464v;0.117647
fois bn:00032768n;0.352941
url bn:00079080n;0.235294
case à cocher bn:03157691n;0.235294
post bn:01500184n;0.117647
nombre bn:00058285n;0.235294
text bn:14981519n;0.235294
langage bn:00049910n;0.382353
utilisateur bn:00079373n;0.117647
case bn:04777941n;0.235294
associer bn:00082868v;0.0588235
personne bn:00046516n;0.235294
méthode post bn:00045088n;0.352941
fermeture bn:16858148n;0.411765
mysql bn:01225760n;0.117647
salaire bn:15928884n;0.0588235
jour bn:00000086n;0.0588235
site bn:00047172n;0.235294
france bn:00036202n;0.0588235
langage de script bn:01431715n;0.117647
interpréter bn:00089840v;0.0588235
côté serveur bn:03816678n;0.0588235
serveur bn:00044916n;0.235294
typage bn:00016413n;0.0588235
foreach bn:03463379n;0.235294
list bn:04720346n;0.117647
cle bn:04756252n;0.235294
mot bn:00081546n;0.117647
timestamp bn:03603649n;0.0588235
session bn:03751534n;0.117647
afficher bn:00087013v;0.0588235
chaîne bn:00074685n;0.117647
header bn:00043309n;0.0588235
accéder bn:00082209v;0.0588235
paris bn:00015540n;0.0588235
classe bn:03608262n;0.0588235
class bn:03598962n;0.0588235
mysqli bn:01438356n;0.0588235
visiteur bn:03106425n;0.0588235
