X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; commentaire bn:00020978n ; délimiter bn:00086464v ; fois bn:00032768n ; url bn:00079080n ; case à cocher bn:03157691n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; langage bn:00049910n ; utilisateur bn:00079373n ; case bn:04777941n ; associer bn:00082868v ; personne bn:00046516n ; méthode post bn:00045088n ; fermeture bn:16858148n ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; interpréter bn:00089840v ; côté serveur bn:03816678n ; serveur bn:00044916n ; typage bn:00016413n ; foreach bn:03463379n ; list bn:04720346n ; cle bn:04756252n ; mot bn:00081546n ; timestamp bn:03603649n ; session bn:03751534n ; afficher bn:00087013v ; chaîne bn:00074685n ; header bn:00043309n ; accéder bn:00082209v ; paris bn:00015540n ; classe bn:03608262n ; class bn:03598962n ; mysqli bn:01438356n ; visiteur bn:03106425n
page web bn:00080778n ; 1 ; 0.166667 ; 0.111111 ; 0.285714 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.04 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.5 ; 0.0769231 ; 0.111111 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.0833333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.25 ; 0.166667 ; 0.142857 ; 0.2 ; 1 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.25 ; 0.333333 ; 0.111111 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
navigateur bn:00013447n ; 0.166667 ; 1 ; 0.25 ; 0.266667 ; 0.0666667 ; 0.142857 ; 0.25 ; 0.111111 ; 0.241379 ; 0.368421 ; 0.142857 ; 0.181818 ; 0.142857 ; 0.411765 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.25 ; 0.111111 ; 0.241379 ; 0.142857 ; 0.25 ; 0.166667 ; 0.25 ; 1 ; 0.181818 ; 0.142857 ; 0.166667 ; 0.0769231 ; 0.111111 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.166667 ; 0.25 ; 0.166667 ; 0.25 ; 0.333333 ; 0.25 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.0769231 ; 0.333333 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667
serveur web bn:02705179n ; 0.111111 ; 0.25 ; 1 ; 0.153846 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.571429 ; 0.2 ; 0.222222 ; 0.2 ; 0.25 ; 0.333333 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.25 ; 0.333333 ; 0.25 ; 0.222222 ; 0.5 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.25 ; 0.2 ; 0.111111 ; 0.25 ; 0.333333 ; 0.111111 ; 1 ; 0.5 ; 1 ; 0.5 ; 0.25 ; 0.5 ; 0.25 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.111111
fichier bn:00021475n ; 0.285714 ; 0.266667 ; 0.153846 ; 1 ; 0.222222 ; 0.1 ; 0.0714286 ; 0.363636 ; 0.148148 ; 0.105263 ; 0.1 ; 0.5 ; 0.222222 ; 0.266667 ; 0.363636 ; 0.363636 ; 0.222222 ; 0.153846 ; 0.153846 ; 0.291667 ; 0.222222 ; 0.363636 ; 0.285714 ; 0.363636 ; 0.266667 ; 0.5 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.153846 ; 0.125 ; 0.1 ; 0.285714 ; 0.285714 ; 0.363636 ; 0.125 ; 0.153846 ; 0.222222 ; 0.153846 ; 0.1 ; 0.125 ; 0.1 ; 0.125 ; 0.571429 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714
client bn:00019764n ; 0.2 ; 0.0666667 ; 0.2 ; 0.222222 ; 1 ; 0.333333 ; 0.2 ; 0.5 ; 0.166667 ; 0.125 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.142857 ; 0.5 ; 0.5 ; 0.142857 ; 0.2 ; 0.5 ; 0.166667 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.0666667 ; 0.285714 ; 0.333333 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
base de donnée bn:00025333n ; 0.2 ; 0.142857 ; 0.2 ; 0.1 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.166667 ; 0.285714 ; 1 ; 0.125 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.0769231 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.2 ; 0.142857 ; 0.125 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
donnée bn:00025314n ; 0.111111 ; 0.25 ; 0.333333 ; 0.0714286 ; 0.2 ; 0.5 ; 1 ; 0.142857 ; 0.333333 ; 0.571429 ; 0.5 ; 0.1 ; 0.2 ; 0.25 ; 0.142857 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.2 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.25 ; 0.1 ; 0.2 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.25 ; 0.5 ; 0.111111 ; 0.111111 ; 0.142857 ; 0.25 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.25 ; 0.5 ; 0.25 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
php bn:01753580n ; 0.111111 ; 0.111111 ; 0.333333 ; 0.363636 ; 0.5 ; 0.2 ; 0.142857 ; 1 ; 0.333333 ; 0.222222 ; 0.2 ; 0.571429 ; 0.2 ; 0.25 ; 1 ; 1 ; 0.2 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.25 ; 0.333333 ; 0.111111 ; 0.571429 ; 0.5 ; 0.111111 ; 0.25 ; 0.333333 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.25 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.111111
code bn:00020354n ; 0.04 ; 0.241379 ; 0.333333 ; 0.148148 ; 0.166667 ; 0.166667 ; 0.333333 ; 0.333333 ; 1 ; 0.583333 ; 0.166667 ; 0.266667 ; 0.0769231 ; 0.5 ; 0.333333 ; 0.333333 ; 0.166667 ; 0.142857 ; 0.333333 ; 0.5 ; 0.166667 ; 0.333333 ; 0.0833333 ; 0.142857 ; 0.241379 ; 0.266667 ; 0.166667 ; 0.04 ; 0.0833333 ; 0.333333 ; 0.0833333 ; 0.166667 ; 0.04 ; 0.0833333 ; 0.142857 ; 0.0833333 ; 0.333333 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.0833333 ; 0.166667 ; 0.0833333 ; 0.0769231 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.04
texte bn:00076732n ; 0.0666667 ; 0.368421 ; 0.571429 ; 0.105263 ; 0.125 ; 0.285714 ; 0.571429 ; 0.222222 ; 0.583333 ; 1 ; 0.285714 ; 0.166667 ; 0.125 ; 0.368421 ; 0.222222 ; 0.222222 ; 0.285714 ; 0.222222 ; 0.222222 ; 0.266667 ; 0.285714 ; 0.222222 ; 0.142857 ; 0.222222 ; 0.368421 ; 0.166667 ; 0.285714 ; 0.0666667 ; 0.0666667 ; 0.222222 ; 0.142857 ; 0.285714 ; 0.0666667 ; 0.142857 ; 0.222222 ; 0.142857 ; 0.571429 ; 0.285714 ; 0.571429 ; 0.285714 ; 0.142857 ; 0.285714 ; 0.142857 ; 0.125 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0666667
