X;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA
page web;0.0769231;0;0;0;0;0;0;0;0;0
navigateur;0.142857;0;0;0.181818;0;0;0;0;0;0
serveur web;0.0769231;0;0;0;0;0;0;0;0;0
fichier;0;0.235294;0.277778;0.25;0;0;0.333333;0;0;0
client;0;0.2;0;0;0.2;0;0.235294;0.166667;0;0
base de donnée;0.315789;0;0;0;0;0.375;0;0.238095;0.35;0
donnée;0.315789;0;0;0;0;0.375;0;0.238095;0.35;0
php;0;0.2;0;0;0.2;0;0.235294;0.166667;0;0
java;0;0;0;0;0;0;0;0;0;0.142857
code;0;0;0.142857;0;0;0;0;0.133333;0;0
texte;0.0769231;0;0;0;0;0;0;0;0;0
concerner;0.0769231;0;0;0;0;0;0;0;0;0
commentaire;0;0.166667;0;0;0;0;0;0;0;0.25
délimiter;0.142857;0.166667;0;0;0;0;0;0;0;0
fois;0;0;0;0;0;0;0;0.0714286;0;0
url;0;0;0;0;0;0;0.0714286;0;0;0
case à cocher;0;0.0909091;0;0;0;0;0;0;0;0
post;0.222222;0;0;0.266667;0;0;0.210526;0.210526;0;0
nombre;0.285714;0.25;0.173913;0;0;0.263158;0;0;0.318182;0
text;0;0;0;0;0;0;0;0.133333;0.125;0
langage;0;0;0;0.181818;0;0;0.133333;0;0;0
zones;0.142857;0;0;0;0;0;0;0;0.125;0
utilisateur;0.0769231;0;0;0;0;0;0;0;0;0
case;0;0;0;0;0;0;0.0714286;0;0;0
associer;0.0769231;0;0;0;0;0;0;0;0;0
personne;0.142857;0;0;0;0;0.181818;0;0;0;0
méthode post;0.2;0;0;0.25;0.25;0;0;0;0;0
fermeture;0;0;0;0;0;0;0.0714286;0;0;0
machine;0.0769231;0;0;0;0;0;0;0;0;0
mysql;0.142857;0;0;0;0;0;0;0;0.125;0
salaire;0.0769231;0;0;0;0;0;0;0;0;0
jour;0;0;0;0;0;0;0;0.0714286;0;0
programmation;0;0;0.142857;0;0;0;0;0;0;0.25
site;0;0;0;0;0;0.25;0.2;0.263158;0.315789;0
france;0;0;0;0;0;0;0.0714286;0;0;0
langage de script;0;0;0.277778;0.25;0;0;0.333333;0;0.190476;0
interpréter;0;0.0909091;0;0;0;0;0;0;0;0
côté serveur;0;0.0909091;0;0;0;0;0;0;0;0
serveur;0;0.0909091;0;0;0;0;0;0;0;0
côté client;0;0.0909091;0;0;0;0;0;0;0;0
typage;0;0.166667;0;0;0;0;0;0;0.125;0
foreach;0;0;0;0;0;0;0.133333;0.133333;0;0
pointeur;0;0.0909091;0;0;0;0;0;0;0;0
list;0;0;0;0.1;0;0;0;0;0;0
casse;0;0.0909091;0;0;0;0;0;0;0;0
méthode;0;0;0.142857;0;0;0;0;0;0;0.25
cle;0;0;0;0;0;0;0;0.0714286;0;0
mot;0;0;0;0;0;0;0;0;0.0666667;0
timestamp;0;0;0.142857;0;0;0;0.133333;0;0;0
session;0;0;0;0;0;0;0.0714286;0;0;0
chaîne;0;0;0.142857;0;0;0;0.133333;0;0;0
opérateur;0;0;0;0;0;0;0;0.0714286;0;0
classe;0;0;0;0;0;0;0;0.133333;0;0.25
exceptions;0;0;0.0769231;0;0;0;0;0;0;0
moteur;0;0;0;0;0;0;0;0;0.0666667;0
xml;0;0;0;0;0.2;0;0;0;0;0
entête;0;0;0;0;0;0;0.0714286;0;0;0
echo;0;0;0.0769231;0;0;0;0;0;0;0
files;0;0;0.0769231;0;0;0;0;0;0;0
class;0;0;0.25;0;0;0;0;0.235294;0;0.4
affiche;0;0;0;0;0;0;0;0;0.0666667;0
configuration;0;0;0;0;0.2;0;0;0;0;0
insert;0;0;0;0;0;0.1;0;0;0;0
varchar;0;0;0;0;0;0.1;0;0;0;0
mise;0;0;0;0;0;0;0;0;0;0.142857
transaction;0;0;0;0;0;0;0;0;0.0666667;0
valeur;0;0;0;0;0;0;0.0714286;0;0;0
visiteur;0;0;0;0;0;0;0;0;0.0666667;0
publique;0;0;0;0;0;0;0;0;0;0.142857
composer;0;0;0;0;0.2;0;0;0;0;0
doctype;0;0;0;0;0.2;0;0;0;0;0
positionnement;0;0;0;0.1;0;0;0;0;0;0
mysqli;0;0;0;0;0;0;0;0.0714286;0;0
null;0;0;0;0;0;0.1;0;0;0;0
généralité;0;0;0;0;0;0;0.0714286;0;0;0
autre;0;0;0;0;0;0;0.0714286;0;0;0
avoir accès;0;0;0;0;0;0;0.0714286;0;0;0
bienvenue;0;0;0;0;0;0;0;0.0714286;0;0
paris;0;0;0;0;0;0;0;0.0714286;0;0
