Objects;Weight
php bn:01753580n;0.111111
mysql bn:01225760n;0.0555556
texte bn:00076732n;0.472222
fichier bn:00021475n;0.222222
données bn:00025314n;0.194444
types bn:00016413n;0.0555556
session bn:03751534n;0.0555556
base de donnees bn:00025333n;0.194444
entités bn:00031027n;0.0555556
site bn:00047172n;0.0555556
client web bn:00013447n;0.611111
langage de script bn:01431715n;0.111111
nombre bn:00058285n;0.472222
sélectionner bn:00084931v;0.0555556
post bn:01500184n;0.0555556
méthode get bn:00045088n;0.111111
code bn:00020354n;0.222222
utilisateur bn:00079373n;0.0555556
afficher bn:00087013v;0.222222
nécessaire bn:00107182a;0.111111
serveur bn:00044916n;0.0555556
fois bn:00032768n;0.111111
programmation bn:00021493n;0.111111
class bn:03598962n;0.111111
commentaires bn:00020978n;0.111111
composer bn:14766022n;0.0555556
chaîne bn:00074685n;0.111111
syntaxe bn:00062118n;0.111111
hiérarchie bn:00044017n;0.0555556
définition bn:00025928n;0.0555556
langage bn:00049910n;0.222222
mise bn:00016287n;0.0555556
mode bn:00033729n;0.0555556
configuration bn:03088982n;0.0555556
xml bn:02771436n;0.0555556
postgresql bn:01709156n;0.0555556
web bn:00080772n;0.0555556
méthode bn:01641329n;0.111111
bits bn:00010731n;0.0555556
foreach bn:03463379n;0.0555556
pouvoir bn:00084450v;0.0555556
information bn:00046705n;0.0555556
timestamp bn:03603649n;0.0555556
easyphp bn:14837849n;0.0555556
pouvoir bn:00084451v;0.194444
impossible bn:00104687a;0.0555556
public bn:00109211a;0.0555556
en-tête bn:00043309n;0.0555556
client bn:00019764n;0.0555556
java bn:00048043n;0.0555556
file bn:00065682n;0.0555556
echo bn:03626250n;0.111111
rue bn:00074595n;0.0555556
void bn:01326821n;0.0555556
classe bn:03608262n;0.0555556
exception bn:00032118n;0.111111
wamp bn:01708928n;0.0555556
symfony bn:02798620n;0.0555556
doctype bn:15839327n;0.0555556
environnement de développement bn:00748100n;0.0555556
realisateur bn:00027369n;0.0555556
informatique bn:00100175a;0.0555556
