Objects;Weight
page web bn:00080778n;0.0555556
navigateur bn:00013447n;0.111111
serveur web bn:02705179n;0.0555556
fichier bn:00021475n;0.111111
client bn:00019764n;0.444444
base de donnée bn:00025333n;0.0555556
donnée bn:00025314n;0.194444
php bn:01753580n;0.166667
javascript bn:00055423n;0.0555556
code bn:00020354n;0.0555556
texte bn:00076732n;0.0555556
concerner bn:00083240v;0.0555556
commentaire bn:00020978n;0.111111
délimiter bn:00086464v;0.111111
gras bn:00011848n;0.0555556
fois bn:00032768n;0.0555556
lien hypertextes bn:00045513n;0.0555556
url bn:00079080n;0.111111
case à cocher bn:03157691n;0.111111
post bn:01500184n;0.0555556
nombre bn:00058285n;0.0555556
text bn:14981519n;0.222222
langage bn:00049910n;0.0555556
zones bn:00005513n;0.111111
utilisateur bn:00079373n;0.111111
affectation bn:02806034n;0.0555556
syntaxe bn:00062118n;0.0555556
case bn:04777941n;0.111111
associer bn:00082868v;0.0555556
personne bn:00046516n;0.0555556
structure de contrôle bn:00047734n;0.0555556
méthode post bn:00045088n;0.166667
fermeture bn:16858148n;0.0555556
passwd bn:14874750n;0.0555556
machine bn:00054050n;0.0555556
mysql bn:01225760n;0.111111
salaire bn:15928884n;0.0555556
jour bn:00000086n;0.0555556
programmation bn:00021493n;0.111111
site bn:00047172n;0.194444
paris bn:00015540n;0.0555556
france bn:00036202n;0.0555556
programmation web bn:03446093n;0.0555556
session bn:03751534n;0.0555556
chaîne bn:00074685n;0.111111
côté serveur bn:03816678n;0.0555556
côté client bn:03163702n;0.0555556
script bn:01431715n;0.166667
interpréter bn:00089840v;0.0555556
serveur bn:00044916n;0.138889
type bn:00016413n;0.0555556
opérateurs bn:16281811n;0.0555556
list bn:04720346n;0.0555556
pointeur bn:03222272n;0.0555556
cle bn:04756252n;0.111111
méthode bn:01641329n;0.0555556
conditionnelles bn:00100214a;0.0555556
foreach bn:03463379n;0.0555556
couleurs bn:00020726n;0.0555556
valeur par défaut bn:03854990n;0.0555556
classes bn:03608262n;0.0555556
fonctionnalité bn:00036836n;0.0555556
class bn:03598962n;0.0555556
header bn:00043309n;0.111111
mot bn:00081546n;0.0555556
visiteur bn:03106425n;0.0555556
sauvegarder bn:00093281v;0.0555556
null bn:15898583n;0.0555556
web bn:00080772n;0.0555556
positionnement bn:00030615n;0.0555556
affiche bn:00087013v;0.0555556
casse bn:03225002n;0.0555556
internet bn:00024712n;0.0555556
système bn:15125301n;0.0555556
exe bn:14503132n;0.0555556
menu bn:00021485n;0.0555556
id bn:03885719n;0.0555556
mysqli bn:01438356n;0.0555556
head bn:02338897n;0.0555556
attribut bn:00007068n;0.0555556
valeur bn:00079508n;0.0555556
moteur bn:00030850n;0.0555556
timestamp bn:03603649n;0.0555556
accéder bn:00082209v;0.0555556
