Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;7;0;7;;C11,C15,C17,C19,C3,C5,C6,;
1;6;1;6;mysql bn:01225760n,;C15,C17,C19,C3,C5,C6,;
2;6;1;6;utilisateur bn:00079373n,;C11,C15,C17,C3,C5,C6,;
3;6;1;6;programmation bn:00021493n,;C11,C15,C17,C19,C5,C6,;
4;6;1;6;définition bn:00025928n,;C11,C17,C19,C3,C5,C6,;
5;5;1;5;configuration bn:03088982n,;C11,C15,C17,C19,C3,;
6;5;2;5;mysql bn:01225760n,programmation bn:00021493n,;C15,C17,C19,C5,C6,;
7;5;2;5;mysql bn:01225760n,définition bn:00025928n,;C17,C19,C3,C5,C6,;
8;5;2;5;mysql bn:01225760n,client bn:00019764n,;C15,C17,C19,C3,C6,;
9;5;2;5;méthode get bn:00045088n,définition bn:00025928n,;C11,C17,C19,C3,C6,;
10;5;2;5;utilisateur bn:00079373n,programmation bn:00021493n,;C11,C15,C17,C5,C6,;
11;5;2;5;utilisateur bn:00079373n,définition bn:00025928n,;C11,C17,C3,C5,C6,;
12;4;2;4;utilisateur bn:00079373n,configuration bn:03088982n,;C11,C15,C17,C3,;
13;5;2;5;programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C5,C6,;
14;5;3;5;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,;C15,C17,C3,C5,C6,;
15;4;3;4;mysql bn:01225760n,programmation bn:00021493n,définition bn:00025928n,;C17,C19,C5,C6,;
16;4;3;4;mysql bn:01225760n,configuration bn:03088982n,client bn:00019764n,;C15,C17,C19,C3,;
17;6;3;6;types bn:00016413n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C3,C5,C6,;
18;4;3;4;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C6,;
19;4;3;4;méthode get bn:00045088n,définition bn:00025928n,configuration bn:03088982n,;C11,C17,C19,C3,;
20;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,;C11,C15,C17,C6,;
21;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C5,C6,;
22;4;3;4;programmation bn:00021493n,configuration bn:03088982n,postgresql bn:01709156n,;C11,C15,C17,C19,;
23;5;4;5;mysql bn:01225760n,types bn:00016413n,syntaxe bn:00062118n,mode bn:00033729n,;C15,C19,C3,C5,C6,;
24;4;4;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,programmation bn:00021493n,;C15,C17,C5,C6,;
25;4;4;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,définition bn:00025928n,;C17,C3,C5,C6,;
26;4;4;4;mysql bn:01225760n,méthode get bn:00045088n,définition bn:00025928n,client bn:00019764n,;C17,C19,C3,C6,;
27;4;4;4;mysql bn:01225760n,programmation bn:00021493n,client bn:00019764n,file bn:00065682n,;C15,C17,C19,C6,;
28;5;4;5;types bn:00016413n,programmation bn:00021493n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C5,C6,;
29;4;4;4;méthode get bn:00045088n,utilisateur bn:00079373n,définition bn:00025928n,xml bn:02771436n,;C11,C17,C3,C6,;
30;4;5;4;mysql bn:01225760n,données bn:00025314n,base de donnees bn:00025333n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C5,;
31;4;5;4;mysql bn:01225760n,types bn:00016413n,programmation bn:00021493n,syntaxe bn:00062118n,mode bn:00033729n,;C15,C19,C5,C6,;
32;3;5;3;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C17,C5,C6,;
33;4;5;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,en-tête bn:00043309n,client bn:00019764n,;C15,C17,C3,C6,;
34;5;5;5;types bn:00016413n,session bn:03751534n,syntaxe bn:00062118n,définition bn:00025928n,mode bn:00033729n,;C11,C19,C3,C5,C6,;
35;5;5;5;types bn:00016413n,utilisateur bn:00079373n,syntaxe bn:00062118n,mode bn:00033729n,foreach bn:03463379n,;C11,C15,C3,C5,C6,;
36;5;5;5;types bn:00016413n,fois bn:00032768n,commentaires bn:00020978n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C3,C5,;
37;3;5;3;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,configuration bn:03088982n,postgresql bn:01709156n,;C11,C17,C19,;
38;3;5;3;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,configuration bn:03088982n,postgresql bn:01709156n,;C11,C15,C17,;
39;3;6;3;mysql bn:01225760n,données bn:00025314n,base de donnees bn:00025333n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,;C17,C19,C5,;
40;4;6;4;mysql bn:01225760n,types bn:00016413n,session bn:03751534n,syntaxe bn:00062118n,définition bn:00025928n,mode bn:00033729n,;C19,C3,C5,C6,;
41;4;6;4;mysql bn:01225760n,types bn:00016413n,syntaxe bn:00062118n,mode bn:00033729n,web bn:00080772n,client bn:00019764n,;C15,C19,C3,C6,;
42;3;6;3;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,configuration bn:03088982n,en-tête bn:00043309n,client bn:00019764n,;C15,C17,C3,;
43;3;6;3;mysql bn:01225760n,méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,client bn:00019764n,file bn:00065682n,;C17,C19,C6,;
44;3;6;3;mysql bn:01225760n,programmation bn:00021493n,configuration bn:03088982n,postgresql bn:01709156n,client bn:00019764n,file bn:00065682n,;C15,C17,C19,;
45;4;6;4;types bn:00016413n,session bn:03751534n,méthode get bn:00045088n,syntaxe bn:00062118n,définition bn:00025928n,mode bn:00033729n,;C11,C19,C3,C6,;
