Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;5;0;7;;C11,C15,C17,C19,C3,C5,C6,;
1;2;1;2;fichier bn:00021475n,;C11,C5,;
2;4;1;4;base de donnees bn:00025333n,;C17,C19,C3,C5,;
3;3;1;3;client web bn:00013447n,;C3,C5,C6,;
4;3;1;3;langage de script bn:01431715n,;C19,C5,C6,;
5;3;1;3;afficher bn:00087013v,;C11,C17,C3,;
6;3;1;3;nécessaire bn:00107182a,;C15,C3,C6,;
7;4;1;4;langage bn:00049910n,;C15,C19,C3,C5,;
8;2;2;2;php bn:01753580n,afficher bn:00087013v,;C11,C17,;
9;2;2;2;texte bn:00076732n,base de donnees bn:00025333n,;C17,C5,;
10;2;2;2;base de donnees bn:00025333n,afficher bn:00087013v,;C17,C3,;
11;2;2;2;client web bn:00013447n,langage de script bn:01431715n,;C5,C6,;
12;2;2;2;client web bn:00013447n,nécessaire bn:00107182a,;C3,C6,;
13;2;2;2;nécessaire bn:00107182a,langage bn:00049910n,;C15,C3,;
14;2;2;2;nécessaire bn:00107182a,pouvoir bn:00084451v,;C15,C6,;
15;2;2;2;langage bn:00049910n,echo bn:03626250n,;C15,C19,;
16;1;3;1;php bn:01753580n,fichier bn:00021475n,afficher bn:00087013v,;C11,;
17;3;3;3;données bn:00025314n,base de donnees bn:00025333n,langage bn:00049910n,;C19,C3,C5,;
18;1;4;1;nécessaire bn:00107182a,langage bn:00049910n,pouvoir bn:00084451v,echo bn:03626250n,;C15,;
19;1;5;1;php bn:01753580n,texte bn:00076732n,base de donnees bn:00025333n,afficher bn:00087013v,rue bn:00074595n,;C17,;
20;2;5;2;données bn:00025314n,base de donnees bn:00025333n,site bn:00047172n,client web bn:00013447n,langage bn:00049910n,;C3,C5,;
21;2;6;2;données bn:00025314n,base de donnees bn:00025333n,langage de script bn:01431715n,nombre bn:00058285n,chaîne bn:00074685n,langage bn:00049910n,;C19,C5,;
22;1;6;1;client web bn:00013447n,langage de script bn:01431715n,code bn:00020354n,nécessaire bn:00107182a,serveur bn:00044916n,pouvoir bn:00084451v,;C6,;
23;1;7;1;données bn:00025314n,base de donnees bn:00025333n,site bn:00047172n,client web bn:00013447n,afficher bn:00087013v,nécessaire bn:00107182a,langage bn:00049910n,;C3,;
24;1;9;1;données bn:00025314n,base de donnees bn:00025333n,langage de script bn:01431715n,nombre bn:00058285n,chaîne bn:00074685n,langage bn:00049910n,echo bn:03626250n,symfony bn:02798620n,doctype bn:15839327n,;C19,;
25;1;11;1;texte bn:00076732n,fichier bn:00021475n,données bn:00025314n,base de donnees bn:00025333n,site bn:00047172n,client web bn:00013447n,langage de script bn:01431715n,nombre bn:00058285n,chaîne bn:00074685n,langage bn:00049910n,realisateur bn:00027369n,;C5,;
26;0;21;0;php bn:01753580n,texte bn:00076732n,fichier bn:00021475n,données bn:00025314n,base de donnees bn:00025333n,site bn:00047172n,client web bn:00013447n,langage de script bn:01431715n,nombre bn:00058285n,code bn:00020354n,afficher bn:00087013v,nécessaire bn:00107182a,serveur bn:00044916n,chaîne bn:00074685n,langage bn:00049910n,pouvoir bn:00084451v,echo bn:03626250n,rue bn:00074595n,symfony bn:02798620n,doctype bn:15839327n,realisateur bn:00027369n,;;
