Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;12;0;18;;C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C3,C4,C5,C6,C7,C8,C9,;
1;11;1;11;client serveur bn:03496583n,;C1,C11,C14,C15,C16,C17,C18,C19,C5,C6,C9,;
2;10;1;10;perl bn:01723165n,;C1,C11,C12,C15,C17,C19,C3,C4,C5,C9,;
3;11;1;13;java bn:00048043n,;C1,C12,C13,C14,C15,C16,C17,C19,C2,C3,C5,C6,C7,;
4;9;1;9;code source bn:00072947n,;C1,C11,C12,C13,C14,C17,C19,C5,C6,;
5;10;1;11;fichier texte bn:00028018n,;C1,C11,C15,C17,C19,C2,C3,C4,C5,C6,C7,;
6;8;1;8;mise en forme bn:01681906n,;C1,C11,C13,C14,C15,C18,C19,C4,;
7;11;1;15;affichage bn:00010421n,;C1,C11,C12,C14,C15,C16,C18,C19,C2,C3,C4,C5,C6,C7,C9,;
8;9;1;10;champ de saisie bn:03113401n,;C1,C11,C13,C14,C15,C19,C2,C4,C8,C9,;
9;7;1;8;langage bn:00049910n,;C11,C13,C14,C17,C18,C2,C4,C6,;
10;12;1;14;booléen bn:00294693n,;C1,C11,C12,C13,C14,C15,C16,C17,C19,C2,C3,C4,C7,C8,;
11;8;1;8;addition bn:00001296n,;C1,C12,C13,C15,C17,C3,C6,C9,;
12;6;1;6;égalité bn:00031284n,;C1,C11,C16,C17,C4,C5,;
13;11;1;15;logiques bn:00051845n,;C1,C11,C12,C14,C15,C16,C17,C19,C2,C3,C5,C6,C7,C8,C9,;
14;10;1;10;prenom bn:15996005n,;C1,C11,C15,C18,C19,C5,C6,C7,C8,C9,;
15;8;1;8;boucle while bn:03237310n,;C1,C12,C15,C17,C18,C19,C8,C9,;
16;9;1;10;vouloir bn:00095629v,;C11,C12,C15,C17,C18,C19,C2,C3,C5,C6,;
17;7;1;7;feuilles de style en cascade bn:01642119n,;C11,C13,C14,C15,C19,C4,C5,;
18;6;1;6;sens bn:00046139n,;C11,C15,C19,C4,C6,C8,;
19;10;1;12;concaténation bn:03489514n,;C11,C12,C14,C15,C16,C17,C18,C19,C2,C5,C6,C9,;
20;7;1;7;applications web bn:02246184n,;C11,C13,C15,C17,C6,C8,C9,;
21;5;1;5;système d bn:04836299n,;C11,C13,C17,C5,C9,;
22;9;1;9;microsoft bn:01165400n,;C11,C15,C16,C17,C18,C4,C5,C6,C9,;
23;9;1;9;fichier pdf bn:01745594n,;C11,C13,C15,C16,C18,C19,C4,C5,C6,;
24;10;1;11;entiers bn:00047009n,;C11,C12,C15,C17,C18,C19,C2,C3,C5,C7,C9,;
25;10;1;10;globale bn:00103624a,;C11,C12,C14,C15,C17,C18,C19,C3,C6,C9,;
26;10;1;11;langage de programmation bn:00064652n,;C11,C12,C13,C15,C17,C19,C2,C3,C4,C5,C6,;
27;11;1;15;instruction switch bn:01071927n,;C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C3,C4,C7,C8,C9,;
28;9;1;9;boucle for bn:03237322n,;C11,C12,C15,C17,C18,C19,C6,C8,C9,;
29;10;1;11;delete bn:00941697n,;C11,C12,C13,C14,C15,C18,C19,C3,C5,C6,C8,;
30;11;1;13;temps bn:00077270n,;C11,C12,C14,C15,C17,C19,C2,C3,C4,C5,C6,C7,C9,;
31;9;1;9;linux bn:00051427n,;C12,C13,C15,C17,C19,C3,C5,C6,C9,;
32;9;1;10;multiplication bn:00056300n,;C12,C13,C15,C16,C17,C3,C4,C5,C6,C9,;
33;9;1;9;valeur de retour bn:03828774n,;C12,C15,C16,C17,C18,C2,C3,C6,C9,;
34;10;1;10;lire bn:00066357n,;C12,C15,C17,C18,C19,C3,C4,C5,C6,C9,;
35;8;1;8;message bn:00521573n,;C12,C15,C16,C18,C19,C3,C5,C8,;
36;9;1;9;droit bn:00048655n,;C13,C14,C15,C18,C19,C3,C4,C5,C6,;
37;6;1;6;unix bn:00079165n,;C15,C16,C17,C18,C3,C5,;
38;10;2;10;client serveur bn:03496583n,affichage bn:00010421n,;C1,C11,C14,C15,C16,C18,C19,C5,C6,C9,;
39;10;2;10;client serveur bn:03496583n,logiques bn:00051845n,;C1,C11,C14,C15,C16,C17,C19,C5,C6,C9,;
40;6;2;6;client serveur bn:03496583n,boucle while bn:03237310n,;C1,C15,C17,C18,C19,C9,;
41;10;2;10;client serveur bn:03496583n,concaténation bn:03489514n,;C11,C14,C15,C16,C17,C18,C19,C5,C6,C9,;
42;4;2;4;base de donnée bn:00025333n,champ de saisie bn:03113401n,;C1,C13,C8,C9,;
43;8;2;8;perl bn:01723165n,fichier texte bn:00028018n,;C1,C11,C15,C17,C19,C3,C4,C5,;
44;9;2;9;perl bn:01723165n,affichage bn:00010421n,;C1,C11,C12,C15,C19,C3,C4,C5,C9,;
45;8;2;8;perl bn:01723165n,booléen bn:00294693n,;C1,C11,C12,C15,C17,C19,C3,C4,;
46;9;2;9;perl bn:01723165n,logiques bn:00051845n,;C1,C11,C12,C15,C17,C19,C3,C5,C9,;
47;9;2;9;perl bn:01723165n,temps bn:00077270n,;C11,C12,C15,C17,C19,C3,C4,C5,C9,;
48;8;2;8;java bn:00048043n,code source bn:00072947n,;C1,C12,C13,C14,C17,C19,C5,C6,;
49;5;2;5;java bn:00048043n,langage bn:00049910n,;C13,C14,C17,C2,C6,;
50;11;2;11;java bn:00048043n,booléen bn:00294693n,;C1,C12,C13,C14,C15,C16,C17,C19,C2,C3,C7,;
51;7;2;7;java bn:00048043n,addition bn:00001296n,;C1,C12,C13,C15,C17,C3,C6,;
52;10;2;12;java bn:00048043n,logiques bn:00051845n,;C1,C12,C14,C15,C16,C17,C19,C2,C3,C5,C6,C7,;
53;9;2;9;java bn:00048043n,langage de programmation bn:00064652n,;C12,C13,C15,C17,C19,C2,C3,C5,C6,;
54;8;2;8;java bn:00048043n,delete bn:00941697n,;C12,C13,C14,C15,C19,C3,C5,C6,;
55;8;2;8;java bn:00048043n,multiplication bn:00056300n,;C12,C13,C15,C16,C17,C3,C5,C6,;
56;5;2;5;java bn:00048043n,fonctionnement bn:00059128n,;C12,C13,C16,C19,C6,;
57;8;2;8;java bn:00048043n,windows bn:00081305n,;C13,C15,C16,C17,C19,C3,C5,C6,;
58;7;2;7;code source bn:00072947n,booléen bn:00294693n,;C1,C11,C12,C13,C14,C17,C19,;
59;8;2;8;code source bn:00072947n,logiques bn:00051845n,;C1,C11,C12,C14,C17,C19,C5,C6,;
60;7;2;7;code source bn:00072947n,communication bn:00021221n,;C11,C12,C13,C14,C17,C5,C6,;
61;7;2;7;code source bn:00072947n,langage de programmation bn:00064652n,;C11,C12,C13,C17,C19,C5,C6,;
62;7;2;7;code source bn:00072947n,delete bn:00941697n,;C11,C12,C13,C14,C19,C5,C6,;
