X ; C3.csv ; C5.csv ; C6.csv
php bn:01753580n ; 0 ; 0 ; 0.2
script bn:01431715n ; 0 ; 0.333333 ; 0.333333
langage bn:00049910n ; 0.333333 ; 0.333333 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0.2
chaîne bn:00074685n ; 0 ; 0.2 ; 0
programmation bn:00021493n ; 0 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0 ; 0.333333 ; 0.333333
base de données bn:00025333n ; 0.333333 ; 0.333333 ; 0
données bn:00025314n ; 0.333333 ; 0.333333 ; 0
nombre bn:00058285n ; 0 ; 0.2 ; 0
fichiers bn:00021475n ; 0 ; 0 ; 0.2
code bn:00020354n ; 0 ; 0 ; 0.2
texte bn:00076732n ; 0 ; 0.333333 ; 0.333333
http bn:00045088n ; 0.333333 ; 0 ; 0.333333
méthode bn:01641329n ; 0 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.333333 ; 0.333333 ; 0
personne bn:00046516n ; 0.333333 ; 0.333333 ; 0
xml bn:02771436n ; 0.333333 ; 0 ; 0.333333
echo bn:03626250n ; 0 ; 0 ; 0.2
files bn:00065682n ; 0 ; 0 ; 0.2
class bn:03598962n ; 0 ; 0.2 ; 0
configuration bn:03088982n ; 0.2 ; 0 ; 0
insert bn:03795444n ; 0.2 ; 0 ; 0
varchar bn:01838409n ; 0.333333 ; 0.333333 ; 0
client bn:00019764n ; 0.2 ; 0 ; 0
composer bn:14766022n ; 0 ; 0 ; 0.2
null bn:15898583n ; 0 ; 0.2 ; 0
