X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.0384615 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
texte bn:00076732n ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0.153846 ; 0.115385
fichier bn:00021475n ; 0.0769231 ; 0 ; 0 ; 0 ; 0 ; 0.115385 ; 0.153846
données bn:00025314n ; 0 ; 0 ; 0 ; 0.115385 ; 0.115385 ; 0.153846 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.0769231 ; 0.153846 ; 0.153846 ; 0.230769 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0.0769231 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.153846 ; 0.153846 ; 0.153846
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.153846 ; 0 ; 0.153846 ; 0.153846
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0.0769231 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0384615
nécessaire bn:00107182a ; 0 ; 0.153846 ; 0 ; 0 ; 0.153846 ; 0 ; 0.153846
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0384615
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0.0769231 ; 0
langage bn:00049910n ; 0 ; 0.153846 ; 0 ; 0.192308 ; 0.192308 ; 0.192308 ; 0
pouvoir bn:00084451v ; 0 ; 0.0384615 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.153846 ; 0 ; 0.153846 ; 0 ; 0 ; 0.153846
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0384615 ; 0
