X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.0833333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.25 ; 0.25
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0833333
données bn:00025314n ; 0 ; 0 ; 0 ; 0.166667 ; 0.166667 ; 0.333333 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0833333 ; 0.166667 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.166667 ; 0.333333 ; 0.25
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0833333 ; 0 ; 0.166667 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0833333
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0833333
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0833333 ; 0 ; 0.166667 ; 0
pouvoir bn:00084451v ; 0 ; 0.0833333 ; 0 ; 0 ; 0 ; 0 ; 0
