;C1;C2;C3;C4;C5;C6;C7;C8;C9
page web bn:00080778n;0; 1; 0; 1; 0; 0; 1; 0; 1; 
page web statiques bn:03576307n;0; 1; 1; 1; 1; 1; 1; 1; 1; 
serveur web bn:02705179n;0; 0; 0; 0; 0; 0; 1; 1; 0; 
disque dur bn:00073359n;0; 1; 1; 1; 1; 0; 0; 1; 1; 
client bn:00019764n;0; 0; 0; 0; 0; 1; 0; 0; 1; 
client serveur bn:03496583n;0; 1; 1; 1; 0; 0; 1; 1; 0; 
base de donnée bn:00025333n;0; 1; 0; 0; 0; 0; 0; 0; 0; 
ensemble bn:00114766r;0; 1; 1; 1; 1; 1; 1; 1; 1; 
javascript bn:00055423n;0; 0; 0; 0; 0; 0; 1; 1; 0; 
perl bn:01723165n;0; 1; 0; 0; 0; 1; 1; 1; 0; 
python bn:01713224n;0; 1; 0; 1; 0; 0; 1; 1; 1; 
java bn:00048043n;0; 0; 0; 1; 0; 0; 0; 1; 1; 
code source bn:00072947n;0; 1; 1; 1; 0; 0; 1; 1; 1; 
fichier texte bn:00028018n;0; 0; 0; 0; 0; 0; 0; 1; 1; 
texte bn:00076732n;0; 0; 0; 0; 0; 0; 0; 1; 0; 
mise en forme bn:01681906n;0; 1; 1; 0; 1; 1; 1; 1; 1; 
concerner bn:00083240v;0; 1; 0; 0; 0; 0; 0; 1; 1; 
commentaire bn:00020978n;0; 0; 0; 0; 0; 1; 1; 0; 0; 
délimiter bn:00086464v;0; 0; 0; 0; 1; 0; 1; 0; 1; 
affichage bn:00010421n;0; 0; 0; 0; 0; 0; 0; 1; 0; 
gras bn:00011848n;0; 1; 0; 0; 1; 1; 1; 1; 1; 
fois bn:00032768n;0; 0; 0; 1; 0; 0; 0; 0; 0; 
chemin bn:03131414n;0; 1; 1; 1; 0; 0; 1; 1; 0; 
lien hypertextes bn:00045513n;0; 0; 1; 0; 0; 0; 1; 0; 0; 
url bn:00079080n;0; 1; 0; 0; 0; 1; 0; 1; 0; 
textuels bn:00111786a;0; 1; 1; 1; 1; 1; 1; 1; 1; 
case à cocher bn:03157691n;0; 0; 1; 0; 1; 0; 1; 1; 0; 
page web dynamique bn:00937946n;0; 1; 1; 1; 1; 0; 1; 1; 1; 
champ de saisie bn:03113401n;0; 0; 1; 0; 1; 1; 1; 0; 0; 
size bn:03645138n;0; 1; 0; 1; 0; 1; 1; 0; 1; 
text bn:14981519n;0; 0; 0; 0; 0; 0; 1; 0; 0; 
vide bn:00087578v;0; 1; 1; 1; 1; 1; 1; 1; 1; 
liste déroulante bn:00028831n;0; 1; 1; 0; 1; 0; 1; 1; 1; 
sélectionner bn:00084931v;0; 1; 1; 1; 1; 0; 1; 1; 1; 
déclencher bn:00082306v;0; 1; 0; 1; 1; 1; 1; 1; 1; 
réinitialisation bn:00067306n;0; 0; 1; 1; 1; 1; 1; 1; 1; 
langage impératif bn:01246770n;0; 1; 1; 1; 1; 1; 1; 1; 1; 
impératif bn:00104644a;0; 1; 1; 1; 1; 0; 1; 1; 1; 
zones bn:00005513n;0; 1; 0; 1; 1; 0; 1; 1; 0; 
utilisateur bn:00079373n;0; 1; 0; 0; 0; 0; 1; 1; 0; 
affectation bn:02806034n;0; 0; 0; 1; 1; 0; 0; 1; 1; 
booléen bn:00294693n;0; 0; 0; 0; 1; 1; 0; 0; 1; 
réalité bn:00066414n;0; 1; 1; 1; 1; 0; 1; 1; 1; 
concatène bn:00085508v;0; 1; 1; 1; 1; 1; 1; 1; 1; 
addition bn:00001296n;0; 1; 0; 1; 1; 0; 1; 1; 0; 
soustraction bn:00055233n;0; 1; 1; 1; 1; 0; 1; 1; 0; 
multiplié bn:00090977v;0; 1; 1; 1; 1; 1; 1; 1; 1; 
modulo bn:00553864n;0; 1; 0; 1; 1; 1; 1; 1; 0; 
égalité bn:00031284n;0; 1; 1; 0; 0; 1; 1; 1; 1; 
logiques bn:00051845n;0; 0; 0; 1; 0; 0; 0; 0; 0; 
syntaxe bn:00062118n;0; 1; 0; 0; 0; 0; 1; 1; 0; 
case bn:04777941n;0; 0; 0; 1; 1; 0; 0; 1; 0; 
associer bn:00082868v;0; 1; 0; 1; 0; 0; 1; 1; 0; 
personne bn:00046516n;0; 1; 0; 0; 0; 0; 1; 0; 0; 
prenom bn:15996005n;0; 1; 1; 1; 0; 0; 0; 0; 0; 
structure de contrôle bn:00047734n;0; 0; 0; 1; 0; 0; 1; 1; 0; 
définition bn:00025928n;0; 1; 0; 0; 0; 0; 1; 1; 0; 
initialiser bn:00089742v;0; 0; 0; 1; 0; 0; 0; 1; 1; 
dépendre bn:00086606v;0; 1; 0; 1; 1; 0; 1; 1; 1; 
fermeture bn:16858148n;0; 1; 0; 0; 0; 0; 0; 0; 0; 
passwd bn:14874750n;0; 1; 1; 1; 0; 1; 1; 1; 1; 
machine bn:00054050n;0; 1; 0; 1; 0; 0; 1; 1; 1; 
mysql bn:01225760n;0; 1; 0; 0; 0; 0; 1; 1; 0; 
salaire bn:15928884n;0; 1; 1; 1; 1; 1; 1; 0; 1; 
phase bn:00061898n;0; 1; 1; 1; 0; 0; 1; 1; 1; 
être utile bn:00085368v;0; 1; 0; 1; 1; 0; 1; 1; 1; 
boucle while bn:03237310n;0; 1; 1; 1; 1; 1; 1; 0; 0; 
jour bn:00000086n;0; 1; 0; 1; 1; 0; 1; 0; 1; 
euro bn:00031888n;0; 1; 1; 1; 1; 0; 1; 1; 1; 
etc bn:00114282r;0; 1; 0; 1; 0; 0; 1; 1; 0; 
programmation bn:00021493n;0; 0; 0; 0; 0; 0; 1; 1; 0; 
détruire bn:00084204v;0; 1; 1; 1; 1; 1; 0; 1; 0; 
second bn:00105773a;0; 1; 0; 1; 1; 1; 1; 1; 0; 
ordinateur bn:00021464n;0; 1; 1; 1; 1; 0; 1; 1; 0; 
université de rouen bn:00601230n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
france bn:00036202n;1; 0; 1; 1; 1; 1; 0; 1; 1; 
langage de programmation bn:00064652n;1; 0; 0; 0; 0; 0; 1; 1; 1; 
évolué bn:00084199v;1; 0; 1; 1; 1; 1; 1; 1; 1; 
