Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;7;0;7;;C11,C15,C17,C19,C3,C5,C6,;
1;6;1;6;mysql bn:01225760n,;C15,C17,C19,C3,C5,C6,;
2;6;1;6;utilisateur bn:00079373n,;C11,C15,C17,C3,C5,C6,;
3;6;1;6;programmation bn:00021493n,;C11,C15,C17,C19,C5,C6,;
4;6;1;6;définition bn:00025928n,;C11,C17,C19,C3,C5,C6,;
5;5;1;5;configuration bn:03088982n,;C11,C15,C17,C19,C3,;
6;5;2;5;mysql bn:01225760n,utilisateur bn:00079373n,;C15,C17,C3,C5,C6,;
7;5;2;5;mysql bn:01225760n,programmation bn:00021493n,;C15,C17,C19,C5,C6,;
8;5;2;5;mysql bn:01225760n,définition bn:00025928n,;C17,C19,C3,C5,C6,;
9;6;2;6;types bn:00016413n,mode bn:00033729n,;C11,C15,C19,C3,C5,C6,;
10;5;2;5;méthode get bn:00045088n,définition bn:00025928n,;C11,C17,C19,C3,C6,;
11;5;2;5;utilisateur bn:00079373n,programmation bn:00021493n,;C11,C15,C17,C5,C6,;
12;5;2;5;utilisateur bn:00079373n,définition bn:00025928n,;C11,C17,C3,C5,C6,;
13;4;2;4;utilisateur bn:00079373n,configuration bn:03088982n,;C11,C15,C17,C3,;
14;5;2;5;programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C5,C6,;
15;5;3;5;mysql bn:01225760n,types bn:00016413n,mode bn:00033729n,;C15,C19,C3,C5,C6,;
16;4;3;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,;C15,C17,C3,C5,;
17;4;3;4;mysql bn:01225760n,méthode get bn:00045088n,définition bn:00025928n,;C17,C19,C3,C6,;
18;4;3;4;mysql bn:01225760n,utilisateur bn:00079373n,programmation bn:00021493n,;C15,C17,C5,C6,;
19;4;3;4;mysql bn:01225760n,utilisateur bn:00079373n,définition bn:00025928n,;C17,C3,C5,C6,;
20;4;3;4;mysql bn:01225760n,utilisateur bn:00079373n,en-tête bn:00043309n,;C15,C17,C3,C6,;
21;4;3;4;mysql bn:01225760n,programmation bn:00021493n,définition bn:00025928n,;C17,C19,C5,C6,;
22;4;3;4;mysql bn:01225760n,configuration bn:03088982n,client bn:00019764n,;C15,C17,C19,C3,;
23;5;3;5;types bn:00016413n,programmation bn:00021493n,mode bn:00033729n,;C11,C15,C19,C5,C6,;
24;4;3;4;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C6,;
25;4;3;4;méthode get bn:00045088n,définition bn:00025928n,configuration bn:03088982n,;C11,C17,C19,C3,;
26;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,;C11,C15,C17,C6,;
27;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C5,C6,;
28;4;3;4;programmation bn:00021493n,configuration bn:03088982n,postgresql bn:01709156n,;C11,C15,C17,C19,;
29;4;4;4;mysql bn:01225760n,types bn:00016413n,programmation bn:00021493n,mode bn:00033729n,;C15,C19,C5,C6,;
30;4;4;4;mysql bn:01225760n,types bn:00016413n,mode bn:00033729n,web bn:00080772n,;C15,C19,C3,C6,;
31;3;4;3;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,programmation bn:00021493n,;C15,C17,C5,;
32;3;4;3;mysql bn:01225760n,méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,;C17,C19,C6,;
33;3;4;3;mysql bn:01225760n,utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C17,C5,C6,;
34;5;4;5;types bn:00016413n,session bn:03751534n,définition bn:00025928n,mode bn:00033729n,;C11,C19,C3,C5,C6,;
35;4;4;4;méthode get bn:00045088n,utilisateur bn:00079373n,définition bn:00025928n,xml bn:02771436n,;C11,C17,C3,C6,;
36;4;5;4;mysql bn:01225760n,données bn:00025314n,base de donnees bn:00025333n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C5,;
37;4;5;4;mysql bn:01225760n,types bn:00016413n,session bn:03751534n,définition bn:00025928n,mode bn:00033729n,;C19,C3,C5,C6,;
38;3;5;3;mysql bn:01225760n,types bn:00016413n,programmation bn:00021493n,mode bn:00033729n,web bn:00080772n,;C15,C19,C6,;
39;3;5;3;mysql bn:01225760n,utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,en-tête bn:00043309n,;C15,C17,C6,;
40;4;5;4;types bn:00016413n,session bn:03751534n,méthode get bn:00045088n,définition bn:00025928n,mode bn:00033729n,;C11,C19,C3,C6,;
41;5;5;5;types bn:00016413n,post bn:01500184n,utilisateur bn:00079373n,mode bn:00033729n,foreach bn:03463379n,;C11,C15,C3,C5,C6,;
42;3;5;3;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,configuration bn:03088982n,postgresql bn:01709156n,;C11,C17,C19,;
43;3;5;3;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,configuration bn:03088982n,postgresql bn:01709156n,;C11,C15,C17,;
44;3;6;3;mysql bn:01225760n,données bn:00025314n,base de donnees bn:00025333n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,;C17,C19,C5,;
45;4;6;4;mysql bn:01225760n,types bn:00016413n,post bn:01500184n,utilisateur bn:00079373n,mode bn:00033729n,foreach bn:03463379n,;C15,C3,C5,C6,;
46;3;6;3;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,configuration bn:03088982n,en-tête bn:00043309n,client bn:00019764n,;C15,C17,C3,;
47;3;6;3;mysql bn:01225760n,méthode get bn:00045088n,utilisateur bn:00079373n,définition bn:00025928n,xml bn:02771436n,en-tête bn:00043309n,;C17,C3,C6,;
